ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put,befolkning
2019,Vestre Aker,ytre vest,vestkant,43,5,49153
2019,Østensjø,ytre øst,østkant,68,13,50427
2019,NA,NA,NA,2,0,NA
2021,Alna,ytre øst,østkant,32,2,49576
2021,Bjerke,ytre øst,østkant,12,2,34003
2021,Frogner,indre vest,vestkant,45,4,59015
2021,Gamle Oslo,indre øst,østkant,50,5,59875
2021,Grorud,ytre øst,østkant,13,1,27456
2021,Grünerløkka,indre øst,østkant,38,7,63455
2021,Nordre Aker,ytre vest,vestkant,18,1,52632
2021,Nordstrand,ytre vest,vestkant,30,9,52581
2021,Sagene,indre øst,østkant,28,2,45674
2021,St. Hanshaugen,indre vest,vestkant,28,6,38864
2021,Stovner,ytre øst,østkant,22,1,33279
2021,Søndre Nordstrand,ytre øst,østkant,27,4,39098
2021,Ullern,ytre vest,vestkant,22,0,34892
2021,Vestre Aker,ytre vest,vestkant,30,5,50560
2021,Østensjø,ytre øst,østkant,31,4,50793
2021,NA,NA,NA,105,9,NA
2023,Alna,ytre øst,østkant,41,5,49759
2023,Bjerke,ytre øst,østkant,32,1,36335
2023,Frogner,indre vest,vestkant,80,5,60163
2023,Gamle Oslo,indre øst,østkant,85,15,61756
2023,Grorud,ytre øst,østkant,46,3,27773
2023,Grünerløkka,indre øst,østkant,84,11,64270
2023,Nordre Aker,ytre vest,vestkant,54,5,53697
2023,Nordstrand,ytre vest,vestkant,69,11,53151
2023,Sagene,indre øst,østkant,49,10,46984
2023,St. Hanshaugen,indre vest,vestkant,67,10,39487
2023,Stovner,ytre øst,østkant,43,3,33755
2023,Søndre Nordstrand,ytre øst,østkant,59,4,39127
2023,Ullern,ytre vest,vestkant,46,1,35198
2023,Vestre Aker,ytre vest,vestkant,53,5,51487
2023,Østensjø,ytre øst,østkant,63,8,51340
2025,Alna,ytre øst,østkant,34,1,50671
2025,Bjerke,ytre øst,østkant,12,1,37053
2025,Frogner,indre vest,vestkant,37,5,60533
2025,Gamle Oslo,indre øst,østkant,49,8,64554
2025,Grorud,ytre øst,østkant,18,0,28228
2025,Grünerløkka,indre øst,østkant,31,7,66404
2025,Nordre Aker,ytre vest,vestkant,37,5,55100
2025,Nordstrand,ytre vest,vestkant,25,4,54883
2025,Sagene,indre øst,østkant,19,2,47801
2025,St. Hanshaugen,indre vest,vestkant,24,2,39840
2025,Stovner,ytre øst,østkant,18,2,34577
2025,Søndre Nordstrand,ytre øst,østkant,29,2,39297
2025,Ullern,ytre vest,vestkant,24,1,35668
2025,Vestre Aker,ytre vest,vestkant,31,6,52254
2025,Østensjø,ytre øst,østkant,24,5,52211
2025,NA,NA,NA,84,8,NA
